,disease
5905,Infant Overweight
5906,"Infant, Premature, Diseases"
5907,Infantile Globoid Cell Leukodystrophy
5908,Infantile Neuroaxonal Dystrophy
5909,Infantile Obesity
5910,Infantile Refsum Disease (disorder)
5911,Infantile Sandhoff Disease
5912,Infantile Severe Myoclonic Epilepsy
5913,Infantile Sialic Acid Storage Disease
5914,"Infantile convulsions and paroxysmal choreoathetosis, familial (disorder)"
5915,Infantile encephalopathy
5916,Infantile hemangioma
5917,Infantile hypophosphatasia
5918,Infantile malignant osteopetrosis
5919,Infantile myofibromatosis
5920,Infantile neuronal ceroid lipofuscinosis
5921,Infantile nystagmus
5922,Infantile onset spinocerebellar ataxia
5923,Infantile paralysis
5924,Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression
5925,Infarction
5926,"Infarction, Middle Cerebral Artery"
5927,Infection
5928,Infection by Trichuris trichiura
5929,Infection caused by Norovirus
5930,Infection of amniotic cavity
5931,"Infections, Arenavirus"
5932,"Infections, Calicivirus"
5933,Infectious Bursal Disease Virus
5934,Infectious Myositis
5935,Infertility
5936,Infiltrating duct carcinoma of female breast
5937,Inflammation
5938,Inflammatory Bowel Disease 10
5939,Inflammatory Bowel Disease 13
5940,Inflammatory Bowel Disease 14
5941,Inflammatory Bowel Disease 17
5942,Inflammatory Bowel Disease 19
5943,Inflammatory Bowel Diseases
5944,Inflammatory Breast Carcinoma
5945,Inflammatory Myofibroblastic Tumor
5946,Inflammatory disease of mucous membrane
5947,Inflammatory linear verrucous epidermal nevus
5948,Influenza
5949,Infusion pump Alert priority PN
5950,Inguinal Cryptorchidism
5951,"Inguinal Hernia, Direct"
5952,"Inguinal Hernia, Indirect"
5953,Inherited Factor II deficiency
5954,Inherited Hemoglobin Disease
5955,Inherited Peripheral Neuropathy
5956,Inherited acute myeloid leukemia
5957,Inherited isolated adrenal insufficiency due to partial CYP11A1 deficiency
5958,Inherited neuropathies
5959,Iniencephaly
5960,Inner Ear Inflammation
5961,Inorganic Mercury Poisoning
5962,Inosine Triphosphatase Deficiency
5963,Inspiration function
5964,Insufficient Sleep Syndrome
5965,Insulin Resistance
5966,Insulin Sensitivity
5967,Insulin resistance - type A
5968,Insulin-Like Growth Factor I Deficiency
5969,Insulin-dependent diabetes mellitus secretory diarrhea syndrome
5970,Intellectual Disability
5971,"Interferon gamma, receptor 1, deficiency"
5972,Interfrontal craniofaciosynostosis
5973,"Interleukin 2 Receptor, Alpha, Deficiency of"
5974,Intermediate Maple Syrup Urine Disease
5975,Intermittent Claudication
5976,Intermittent Explosive Disorder
5977,Intermittent Maple Syrup Urine Disease
5978,Intermittent Tremor
5979,Intermittent joint effusion
5980,Internal Carotid Artery Diseases
5981,Internal Carotid Artery Stenosis
5982,Internal Carotid Artery Thrombosis
5983,Internal Ophthalmoplegia
5984,Intersex Conditions
5985,Interstitial Cystitis
5986,Interstitial Lung Disease
5987,Intervertebral Disc Degeneration
5988,Intervertebral Disk Displacement
5989,Intervertebral disc disorder
5990,Intestinal Barrier Dysfunction
5991,Intestinal Cancer
5992,Intestinal Diseases
5993,Intestinal Neoplasms
5994,Intestinal Obstruction
5995,Intestinal Perforation
5996,Intestinal Polyposis
5997,Intestinal Polyps
5998,Intestinal Pseudo-Obstruction
5999,Intestinal Schistosomiasis
6000,Intestinal epithelial dysplasia
6001,Intestinal schistosomiasis
6002,Intracardiac myxoma
6003,Intracerebral Hemorrhage
6004,Intracranial Aneurysm
6005,Intracranial Arteriovenous Malformation
6006,"Intracranial Arteriovenous Malformation, Ruptured"
6007,Intracranial Astrocytoma
6008,Intracranial Embolism and Thrombosis
6009,"Intracranial Hematoma, Traumatic"
6010,Intracranial Hemorrhage
6011,Intracranial Hypertension
6012,Intracranial Meningioma
6013,Intracranial Sinus Thrombophlebitis
6014,Intracranial Thrombosis
6015,Intraductal Papillary Mucinous Neoplasms
6016,Intraepithelial Neoplasia
6017,Intrahepatic Cholangiocarcinoma
6018,Intrahepatic Cholestasis
6019,Intrahepatic biliary atresia
6020,Intraorbital Meningioma
6021,"Intrauterine Growth Retardation, Metaphyseal Dysplasia, Adrenal Hypoplasia Congenita, And Genital Anomalies"
6022,Intrauterine growth restriction (IUGR)
6023,Intravascular hemolysis
6024,Intraventricular Meningioma
6025,Intrinsic Factor Deficiency
6026,Invasive Bladder Transitional Cell Carcinoma
6027,Invasive Ductal Breast Carcinoma
6028,"Invasive Pneumococcal Disease, Recurrent Isolated, 1"
6029,Involuntary Movements
6030,Involuntary Quiver
6031,Involutional Depression
6032,Involutional paraphrenia
6033,Iodide organification defect
6034,Irido-corneal dysgenesis
6035,Irido-corneo-trabecular dysgenesis (disorder)
6036,"Iris Coloboma with Ptosis, Hypertelorism, and Mental Retardation"
6037,Iron Metabolism Disease
6038,Iron Metabolism Disorders
6039,Iron Overload
6040,"Iron Overload, Autosomal Dominant"
6041,Iron deficiency anemia
6042,Iron-Refractory Iron Deficiency Anemia
6043,"Irritability, CTCAE"
6044,Irritable Bowel Syndrome
6045,Irritable Mood
6046,Irritable heart
6047,Irritation - emotion
6048,Irvine-Gass Syndrome
6049,Isaacs syndrome
6050,Ischemia
6051,Ischemia-Reperfusion Injury
6052,Ischemic Diseases
6053,Ischemic Heart Disease
6054,Ischemic stroke
6055,Islet Cell Tumor
6056,Islet cell adenomatosis
6057,Isobutyryl-CoA dehydrogenase deficiency
6058,Isodicentric Chromosome 15 Syndrome
6059,Isolated ATP synthase deficiency
6060,"Isolated Growth Hormone Deficiency, Type IB"
6061,"Isolated Growth Hormone Deficiency, Type II"
6062,Isolated asymptomatic elevation of creatine phosphokinase
6063,Isolated bone marrow mastocytosis
6064,Isolated hyperchlorhidrosis
6065,Isolated hypoplasia of the right ventricle
6066,Isolated lutropin deficiency (disorder)
6067,Isolated somatotropin deficiency
6068,Isovaleryl-CoA dehydrogenase deficiency
6069,JABERI-ELAHI SYNDROME
6070,JACKSON-WEISS SYNDROME
6071,JERVELL AND LANGE-NIELSEN SYNDROME 2 (disorder)
6072,"JOINT LAXITY, SHORT STATURE, AND MYOPIA"
6073,JOUBERT SYNDROME 10 (disorder)
6074,JOUBERT SYNDROME 13
6075,JOUBERT SYNDROME 14
6076,JOUBERT SYNDROME 15
6077,JOUBERT SYNDROME 16
6078,JOUBERT SYNDROME 17
6079,JOUBERT SYNDROME 18
6080,JOUBERT SYNDROME 19
6081,JOUBERT SYNDROME 2
6082,JOUBERT SYNDROME 20
6083,JOUBERT SYNDROME 21
6084,JOUBERT SYNDROME 22
6085,JOUBERT SYNDROME 23
6086,JOUBERT SYNDROME 24
6087,JOUBERT SYNDROME 25
6088,JOUBERT SYNDROME 27
6089,JOUBERT SYNDROME 28
6090,JOUBERT SYNDROME 3
6091,JOUBERT SYNDROME 30
6092,JOUBERT SYNDROME 31
6093,JOUBERT SYNDROME 32
6094,JOUBERT SYNDROME 33
6095,JOUBERT SYNDROME 35
6096,JOUBERT SYNDROME 4 (disorder)
6097,JOUBERT SYNDROME 5
6098,JOUBERT SYNDROME 6
6099,JOUBERT SYNDROME 7
6100,JOUBERT SYNDROME 8 (disorder)
6101,JOUBERT SYNDROME 9 (disorder)
6102,JUVENILE POLYPOSIS OF STOMACH
6103,JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME (disorder)
6104,Jackknife Seizures
6105,Jacksonian Seizure
6106,Jacobsen Distal 11q Deletion Syndrome
6107,Jalili syndrome
6108,Jankovic Rivera syndrome
6109,Jansen type metaphyseal chondrodysplasia
6110,Japanese Encephalitis Virus Infection
6111,Jarcho-Levin syndrome
6112,"Jaundice, Chronic Idiopathic"
6113,"Jaundice, Obstructive"
6114,Jaw Abnormalities
6115,Jejunal Atresia with Microcephaly and Ocular Anomalies
6116,Jensen syndrome
6117,Jerk Nystagmus
6118,Jervell And Lange-Nielsen Syndrome 1
6119,Jervell-Lange Nielsen Syndrome
6120,Jeune thoracic dystrophy
6121,Job Syndrome
6122,Johanson-Blizzard syndrome
6123,Johne Disease
6124,Joint Instability
6125,Joint laxity
6126,Joubert syndrome 1
6127,Joubert syndrome with Jeune asphyxiating thoracic dystrophy
6128,Joubert syndrome with ocular defect
6129,Juberg-Marsidi syndrome
6130,Junctional Epidermolysis Bullosa
6131,Juvenile Absence Epilepsy
6132,Juvenile Huntington Disease
6133,Juvenile Myelomonocytic Leukemia
6134,Juvenile Myoclonic Epilepsy
6135,Juvenile Myoclonic Epilepsy of Janz
6136,Juvenile Neuroaxonal Dystrophy
6137,Juvenile Neuronal Ceroid Lipofuscinosis
6138,Juvenile Pilocytic Astrocytoma
6139,Juvenile Polyposis Coli
6140,Juvenile Pyruvate Dehydrogenase Complex Deficiency Disease
6141,Juvenile Rheumatoid Arthritis
6142,Juvenile Sandhoff Disease
6143,Juvenile Spinal Muscular Atrophy
6144,Juvenile amyotrophic lateral sclerosis
6145,Juvenile arthritis
6146,Juvenile hemochromatosis
6147,Juvenile macular degeneration
6148,Juvenile nephropathic cystinosis (disorder)
6149,Juvenile osteoporosis
6150,Juvenile pauciarticular chronic arthritis
6151,Juvenile polyposis syndrome
6152,Juvenile psoriatic arthritis
6153,Juvenile-Onset Still Disease
6154,Juvenile-Onset Vitelliform Macular Dystrophy
6155,Juvenile-onset dystonia
6156,KABUKI SYNDROME 2
6157,KBG syndrome
6158,"KENNY-CAFFEY SYNDROME, TYPE 1"
6159,KEPPEN-LUBINSKY SYNDROME
6160,KERATOSIS PALMOPLANTARIS STRIATA II
6161,KLEEFSTRA SYNDROME 1
6162,KLEEFSTRA SYNDROME 2
6163,KLHL9-related early-onset distal myopathy
6164,"KLIPPEL-FEIL SYNDROME 3, AUTOSOMAL DOMINANT"
6165,"KLIPPEL-FEIL SYNDROME 4, AUTOSOMAL RECESSIVE, WITH NEMALINE MYOPATHY AND FACIAL DYSMORPHISM"
6166,"KLIPPEL-FEIL SYNDROME, AUTOSOMAL DOMINANT"
6167,"KRABBE DISEASE, ATYPICAL, DUE TO SAPOSIN A DEFICIENCY"
6168,KUFOR-RAKEB SYNDROME
6169,Kabuki make-up syndrome
6170,Kahrizi Syndrome
6171,"Kallikrein, Decreased Urinary Activity of"
6172,Kallmann Syndrome
6173,Kallmann Syndrome 1
6174,Kallmann Syndrome 2 (disorder)
6175,"Kallmann syndrome, type 3, recessive"
6176,Kandinsky Syndrome
6177,Kaposi Sarcoma
6178,Kaposiform Hemangioendothelioma
6179,Kappa-Chain Deficiency
6180,Kartagener Syndrome
6181,Kaufman oculocerebrofacial syndrome
6182,Kaufman-McKusick syndrome
6183,Kawasaki Syndrome
6184,Kearns-Sayre syndrome
6185,Keloid
6186,Kenny-Caffey syndrome
6187,"Kenny-Caffey syndrome, type 2"
6188,Keratitis
6189,Keratitis Fugax Hereditaria
6190,"Keratitis, hereditary"
6191,Keratitis-Ichthyosis-Deafness Syndrome
6192,Keratoconus
6193,Keratoconus 1
6194,Keratoderma palmoplantar spastic paralysis
6195,Keratoderma with deafness
6196,Keratoderma with scleroatrophy of the extremities
6197,"Keratoderma, Palmoplantar"
6198,"Keratoderma, Palmoplantar, Diffuse"
6199,"Keratoderma, Palmoplantar, Epidermolytic"
6200,"Keratoderma, Palmoplantar, Norrbotten Recessive Type"
6201,Keratolytic winter erythema
6202,Keratoma
6203,Keratomalacia
6204,Keratosis
6205,Keratosis Blennorrhagica
6206,Keratosis Follicularis
6207,"Keratosis Follicularis Spinulosa Decalvans, X-Linked"
6208,Keratosis Linearis with Ichthyosis Congenita and Sclerosing Keratoderma
6209,Keratosis of Greither
6210,Keratosis palmoplantaris papulosa
6211,Keratosis palmoplantaris striata 1
6212,Keratosis palmoplantaris striata 3
6213,Keratosis pilaris decalvans
6214,Kernicterus
6215,Keutel syndrome
6216,Ki-1+ Anaplastic Large Cell Lymphoma
6217,Kideny Transplant Rejection
6218,Kidney Calculi
6219,Kidney Diseases
6220,Kidney Failure
6221,"Kidney Failure, Acute"
6222,"Kidney Failure, Chronic"
6223,Kidney Injury
6224,Kidney Neoplasm
6225,Kidney Neoplasms
6226,Kidney Osteogenic Sarcoma
6227,Kienbock Disease
6228,King Denborough syndrome
6229,"Kininogen Deficiency, Total"
6230,Kinsbourne Syndrome
6231,Klein's Syndrome
6232,Kleine-Levin Syndrome
6233,Klippel Feil syndrome recessive type
6234,Klippel-Feil Syndrome
6235,Klippel-Feil anomaly
6236,Klippel-Trenaunay-Weber Syndrome
6237,Knee Osteoarthritis
6238,Kniest dysplasia
6239,"Knobloch Syndrome, Type I"
6240,Knobloch syndrome
6241,"Knuckle pads, leuconychia and sensorineural deafness"
6242,Kohlschutter Tonz syndrome
6243,Kosaki overgrowth syndrome
6244,Kowarski syndrome
6245,Krause-Kivlin syndrome
6246,Kuru
6247,Kuskokwim disease
6248,Kyphosis deformity of spine
6249,Kyphosis/scoliosis (in some patients)
6250,L-2-HYDROXYGLUTARIC ACIDURIA
6251,L-2-hydroxyglutaric acidemia
6252,L-FERRITIN DEFICIENCY
6253,L2 Acute Lymphoblastic Leukemia
6254,LACRIMAL DUCT DEFECT
6255,LAMB-SHAFFER SYNDROME
6256,LANGUAGE DELAY AND ATTENTION DEFICIT-HYPERACTIVITY DISORDER/COGNITIVE IMPAIRMENT WITH OR WITHOUT CARDIAC ARRHYTHMIA
6257,LATE-ONSET RETINAL DEGENERATION (disorder)
6258,LATERAL MENINGOCELE SYNDROME
6259,LAURIN-SANDROW SYNDROME
6260,"LEAD POISONING, SUSCEPTIBILITY TO"
6261,LEBER CONGENITAL AMAUROSIS 10 (disorder)
6262,LEBER CONGENITAL AMAUROSIS 11
6263,LEBER CONGENITAL AMAUROSIS 12 (disorder)
6264,LEBER CONGENITAL AMAUROSIS 13
6265,LEBER CONGENITAL AMAUROSIS 15
6266,LEBER CONGENITAL AMAUROSIS 16
6267,LEBER CONGENITAL AMAUROSIS 17
6268,LEBER CONGENITAL AMAUROSIS 3 (disorder)
6269,LEBER CONGENITAL AMAUROSIS 5
6270,LEBER CONGENITAL AMAUROSIS 6 (disorder)
6271,LEBER CONGENITAL AMAUROSIS 7
6272,LEBER CONGENITAL AMAUROSIS 8
6273,LEBER CONGENITAL AMAUROSIS 9 (disorder)
6274,LEBER CONGENITAL AMAUROSIS WITH EARLY-ONSET DEAFNESS
6275,"LEBER CONGENITAL AMAUROSIS, TYPE II (disorder)"
6276,LEBER OPTIC ATROPHY AND DYSTONIA
6277,LEFT VENTRICULAR NONCOMPACTION 10
6278,LEFT VENTRICULAR NONCOMPACTION 4
6279,LEFT VENTRICULAR NONCOMPACTION 5
6280,LEFT VENTRICULAR NONCOMPACTION 7
6281,LEFT VENTRICULAR NONCOMPACTION 8
6282,LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY
6283,LEOPARD SYNDROME 2
6284,LEOPARD SYNDROME 3
6285,LEOPARD Syndrome
6286,"LEPROSY, SUSCEPTIBILITY TO, 2"
6287,LEPTIN DEFICIENCY OR DYSFUNCTION
6288,LEPTIN RECEPTOR DEFICIENCY
6289,LETHAL CONGENITAL CONTRACTURAL SYNDROME 3
6290,LETHAL CONGENITAL CONTRACTURE SYNDROME 1
6291,LETHAL CONGENITAL CONTRACTURE SYNDROME 10
6292,LETHAL CONGENITAL CONTRACTURE SYNDROME 11
6293,LETHAL CONGENITAL CONTRACTURE SYNDROME 4
6294,LETHAL CONGENITAL CONTRACTURE SYNDROME 5
6295,LETHAL CONGENITAL CONTRACTURE SYNDROME 6
6296,LETHAL CONGENITAL CONTRACTURE SYNDROME 7
6297,LETHAL CONGENITAL CONTRACTURE SYNDROME 8
6298,LETHAL CONGENITAL CONTRACTURE SYNDROME 9
6299,LEUKODYSTROPHY AND ACQUIRED MICROCEPHALY WITH OR WITHOUT DYSTONIA
6300,"LEUKODYSTROPHY, HYPOMYELINATING, 10"
6301,"LEUKODYSTROPHY, HYPOMYELINATING, 11"
6302,"LEUKODYSTROPHY, HYPOMYELINATING, 12"
6303,"LEUKODYSTROPHY, HYPOMYELINATING, 13"
6304,"LEUKODYSTROPHY, HYPOMYELINATING, 14"
6305,"LEUKODYSTROPHY, HYPOMYELINATING, 15"
6306,"LEUKODYSTROPHY, HYPOMYELINATING, 16"
6307,"LEUKODYSTROPHY, HYPOMYELINATING, 17"
6308,"LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM"
6309,"LEUKODYSTROPHY, HYPOMYELINATING, 9"
6310,"LEUKODYSTROPHY, PROGRESSIVE, EARLY CHILDHOOD-ONSET"
6311,LEUKOENCEPHALOPATHY WITH ATAXIA
6312,LEUKOENCEPHALOPATHY WITH DYSTONIA AND MOTOR NEUROPATHY
6313,"LEUKOENCEPHALOPATHY, BRAIN CALCIFICATIONS, AND CYSTS"
6314,"LEUKOENCEPHALOPATHY, PROGRESSIVE, WITH OVARIAN FAILURE"
6315,LICHTENSTEIN-KNORR SYNDROME
6316,LIDDLE SYNDROME 3
6317,LIG4 Syndrome
6318,"LIMB-GIRDLE MUSCULAR DYSTROPHY, TYPE 1G (disorder)"
6319,LIMB-MAMMARY SYNDROME
6320,LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2
6321,LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 3
6322,LIPID STORAGE MYOPATHY DUE TO FLAVIN ADENINE DINUCLEOTIDE SYNTHETASE DEFICIENCY
6323,"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 4"
6324,"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 5"
6325,"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 6"
6326,"LIPODYSTROPHY, PARTIAL, ACQUIRED, SUSCEPTIBILITY TO"
6327,"LIPOMA, SOMATIC"
6328,LIPOPROTEIN GLOMERULOPATHY
6329,LIPOYLTRANSFERASE 1 DEFICIENCY
6330,LISSENCEPHALY 4
6331,LISSENCEPHALY 5
6332,LISSENCEPHALY 6 WITH MICROCEPHALY
6333,LISSENCEPHALY 7 WITH CEREBELLAR HYPOPLASIA
6334,LISSENCEPHALY 8
6335,"LISSENCEPHALY SYNDROME, NORMAN-ROBERTS TYPE"
6336,"LIVER FAILURE, INFANTILE, TRANSIENT"
6337,LMNA-related cardiocutaneous progeria syndrome
6338,LOEYS-DIETZ SYNDROME 3
6339,LOEYS-DIETZ SYNDROME 4
6340,LONG QT SYNDROME 13
6341,LONG QT SYNDROME 14
6342,LONG QT SYNDROME 15
6343,LONG QT SYNDROME 3
6344,LONG QT SYNDROME 5
6345,LONG QT SYNDROME 9 (disorder)
6346,LOPES-MACIEL-RODAN SYNDROME
6347,"LUNG DISEASE, IMMUNODEFICIENCY, AND CHROMOSOME BREAKAGE SYNDROME"
6348,LUSCAN-LUMISH SYNDROME
6349,LYMPHATIC MALFORMATION 3
6350,LYMPHATIC MALFORMATION 4
6351,LYMPHATIC MALFORMATION 6
6352,LYMPHATIC MALFORMATION 7
6353,LYMPHOPROLIFERATIVE SYNDROME 1
6354,LYMPHOPROLIFERATIVE SYNDROME 2
6355,LYMPHOPROLIFERATIVE SYNDROME 3
6356,Lacrimal Adenoid Cystic Carcinoma
6357,Lacrimal Apparatus Diseases
6358,Lacrimal Duct Obstruction
6359,"Lacrimal Puncta, Absence of"
6360,Lacrimoauriculodentodigital syndrome
6361,"Lactase Deficiency, Congenital"
6362,Lactate Dehydrogenase B Deficiency
6363,Lactate dehydrogenase deficiency type A
6364,"Lactic Acidosis, Congenital Infantile, Due To Lad Deficiency"
6365,Lactic Aciduria due to D-Lactic Acid
6366,"Lactose Intolerance, Adult Type"
6367,"Lafora Body Disease, Late Onset"
6368,Lafora Disease
6369,Lambert-Eaton Myasthenic Syndrome
6370,"Lamellar ichthyosis, type 2"
6371,Landau-Kleffner Syndrome
6372,Langer Mesomelic Dysplasia Syndrome
6373,Langer-Giedion Syndrome
6374,Language Delay
6375,Language Development Disorders
6376,Language Disorders
6377,Large cell carcinoma of lung
6378,"Large, squared nose tip"
6379,Laron Syndrome
6380,Laron syndrome type 2
6381,Larsen syndrome
6382,"Larsen syndrome, dominant type"
6383,"Larsen syndrome, recessive type"
6384,Laryngeal Neoplasms
6385,Laryngeal Squamous Cell Carcinoma
6386,Laryngeal neoplasm
6387,Laryngoonychocutaneous syndrome
6388,Lassa Fever
6389,Late Infantile Neuroaxonal Dystrophy
6390,Late fontanel closure
6391,Late onset congenital adrenal hyperplasia
6392,Late tooth eruption
6393,Late-Infantile Neuronal Ceroid Lipfuscinosis
6394,Late-Onset Globoid Cell Leukodystrophy
6395,Late-onset junctional epidermolysis bullosa
6396,Lateral Medullary Syndrome
6397,Lateral Sclerosis
6398,Lateral meningocele
6399,Lathosterolosis
6400,Lattice corneal dystrophy Type I
6401,Lattice corneal dystrophy Type II
6402,Laurence-Moon Syndrome
6403,"Laurin-Sandrow Syndrome, Segmental"
6404,Lead Poisoning
6405,"Lead Poisoning, Nervous System"
6406,Learned Helplessness
6407,Learning Disabilities
6408,Learning Disorders
6409,Learning Disturbance
6410,Leber Congenital Amaurosis
6411,Leber Congenital Amaurosis 14
6412,Leber Congenital Amaurosis 4
6413,Leber plus disease
6414,Lecithin Acyltransferase Deficiency
6415,Left Atrial Isomerism
6416,Left Middle Cerebral Artery Infarction
6417,Left Ventricle Remodeling
6418,Left Ventricular Hypertrophy
6419,Left ventricular noncompaction
6420,Left ventricular noncompaction cardiomyopathy
6421,Left ventricular outflow tract obstruction
6422,Left-Sided Heart Failure
6423,Legg-Calve-Perthes Disease
6424,Legionnaires' Disease
6425,Leigh Disease
6426,Leigh Syndrome Due To Mitochondrial Complex II Deficiency
6427,Leigh Syndrome due to Mitochondrial Complex III Deficiency
6428,Leigh Syndrome due to Mitochondrial Complex IV Deficiency
6429,Leigh Syndrome due to Mitochondrial Complex V Deficiency
6430,"Leigh syndrome , French Canadian type"
6431,Leiomyoma
6432,"Leiomyoma, Epithelioid"
6433,"Leiomyomatosis, esophageal and vulval, with nephropathy"
6434,Leiomyosarcoma
6435,"Leiomyosarcoma, Epithelioid"
6436,"Leiomyosarcoma, Myxoid"
6437,Leishmaniasis
6438,"Leishmaniasis, Cutaneous"
6439,"Leishmaniasis, New World"
6440,"Leishmaniasis, Visceral"
6441,Lennox-Gastaut syndrome
6442,Lens Diseases
6443,Lens Opacities
6444,Lenticulostriate Disorders
6445,Lentiginosis Profusa
6446,Lenz Majewski hyperostotic dwarfism
6447,Leopard Syndrome 1
6448,Lepromatous Leprosy
6449,Leprosy
6450,Leri-Weill dyschondrosteosis
6451,Lesch-Nyhan Syndrome
6452,Lesion of Sciatic Nerve
6453,Lesions in the basal ganglia
6454,Lethal Arthrogryposis With Anterior Horn Cell Disease
6455,Lethal Congenital Contracture Syndrome 2
6456,Lethal tight skin contracture syndrome (disorder)
6457,Lethargy
6458,Leukemia
6459,"Leukemia, Acute"
6460,"Leukemia, B-Cell"
6461,"Leukemia, Biphenotypic, Acute"
6462,"Leukemia, Large Granular Lymphocytic"
6463,"Leukemia, Lymphoblastic"
6464,"Leukemia, Lymphoblastic, Acute"
6465,"Leukemia, Lymphoblastic, Acute, B-Cell"
6466,"Leukemia, Lymphoblastic, Acute, Childhood"
6467,"Leukemia, Lymphoblastic, Acute, T-Cell"
6468,"Leukemia, Lymphocytic, Chronic, B-Cell"
6469,"Leukemia, Mast-Cell"
6470,"Leukemia, Megakaryoblastic, of Down Syndrome"
6471,"Leukemia, Monocytic, Chronic"
6472,"Leukemia, Myelocytic, Acute"
6473,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
6474,"Leukemia, Myeloid"
6475,"Leukemia, Myeloid, Accelerated Phase"
6476,"Leukemia, Myeloid, Acute"
6477,"Leukemia, Myeloid, Acute, Pediatric"
6478,"Leukemia, Myeloid, Chronic"
6479,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative"
6480,"Leukemia, Myeloid, Chronic-Phase"
6481,"Leukemia, Myelomonocytic, Chronic"
6482,"Leukemia, Natural Killer Cell Large Granular Lymphocytic"
6483,"Leukemia, Promyelocytic, Acute"
6484,"Leukemia, T-Cell"
6485,"Leukemia, T-Cell, Chronic"
6486,"Leukemia-Lymphoma, Adult T-Cell"
6487,"Leukemia-Lymphoma, Precursor B-Cell Lymphoblastic"
6488,"Leukemia-Lymphoma, Precursor T-Cell Lymphoblastic"
6489,"Leukocyte Adhesion Deficiency, Type III"
6490,Leukocyte Disorders
6491,Leukocyte adhesion deficiency type 1
6492,Leukocyte inclusion bodies
6493,Leukocyte-Adhesion Deficiency Syndrome
6494,Leukocytosis
6495,"Leukodystrophy, Demyelinating, Adult-Onset, Autosomal Dominant"
6496,"Leukodystrophy, Dysmyelinating, And Spastic Paraparesis With Or Without Dystonia"
6497,"Leukodystrophy, Dysmyelinating, with Oligodontia"
6498,"Leukodystrophy, Hypomyelinating, 2"
6499,"Leukodystrophy, Hypomyelinating, 4"
6500,"Leukodystrophy, Hypomyelinating, 6"
6501,"Leukodystrophy, Hypomyelinating, with Hypodontia and Hypogonadotropic Hypogonadism"
6502,"Leukodystrophy, Metachromatic"
6503,"Leukodystrophy, hypomyelinating"
6504,Leukoencephalopathy
6505,Leukoencephalopathy With Metaphyseal Chondrodysplasia
6506,Leukoencephalopathy with Brainstem and Spinal Cord Involvement and Lactate Elevation
6507,Leukoencephalopathy with mild cerebellar ataxia and white matter edema
6508,"Leukoencephalopathy, Cystic, Without Megalencephaly"
6509,Leukokeratosis
6510,"Leukokeratosis, Hereditary Mucosal"
6511,Leukopenia
6512,Leukoplakia
6513,"Leukoplakia, Oral"
6514,Leukostasis
6515,Leukotriene C4 Synthase Deficiency
6516,Lewy Body Disease
6517,Leydig Cell Hypoplasia
6518,"Leydig Cell Hypoplasia, Type II"
6519,Leydig Cell Tumor
6520,Leydig cell agenesis
6521,Lhermitte-Duclos disease
6522,Li-Fraumeni Syndrome
6523,Li-Fraumeni Syndrome 2
6524,Libman-Sacks Disease
6525,Lichen Planus
6526,Lichen planus follicularis
6527,Lichenoid Eruptions
6528,Liddle Syndrome
6529,Light-Induced Retinal Injury
6530,Ligneous conjunctivitis
6531,"Limb Deformities, Congenital"
6532,Limb-girdle muscular dystrophy type 2A
6533,Limb-girdle muscular dystrophy type 2F
6534,Limb-girdle muscular dystrophy type 2H
6535,"Limb-girdle muscular dystrophy, type 2E"
6536,Limbic encephalitis with leucine-rich glioma-inactivated 1 antibodies
6537,Limit-Setting Sleep Disorder
6538,Linear Scleroderma
6539,Linear Verrucous Epidermal Nevus
6540,Lingual-Facial-Buccal Dyskinesia
6541,Linitis Plastica
6542,Lip pit
6543,Lipase deficiency combined
6544,Lipid Metabolism Disorder
6545,Lipid Metabolism Disorders
6546,"Lipid Metabolism, Inborn Errors"
6547,Lipidemias
6548,Lipoatrophic Diabetes Mellitus
6549,Lipoblastoma
6550,Lipoblastomatosis
6551,Lipodystrophy
6552,"Lipodystrophy, Congenital Generalized, Type 3"
6553,"Lipodystrophy, Congenital Generalized, Type 4"
6554,Lipoid Proteinosis of Urbach and Wiethe
6555,Lipoid congenital adrenal hyperplasia
6556,Lipoid nephrosis
6557,Lipoidosis
6558,Lipoma
6559,Lipomatosis
6560,"Lipomatosis, Multiple"
6561,"Lipomatosis, Multiple Symmetrical"
6562,Lipomucopolysaccharidosis
6563,Liposarcoma
6564,"Liposarcoma, Dedifferentiated"
6565,"Liposarcoma, Myxoid"
6566,"Liposarcoma, Pleomorphic"
6567,"Liposarcoma, well differentiated"
6568,Lissencephaly
6569,Lissencephaly 3
6570,"Lissencephaly, X-Linked, 1"
6571,"Lissencephaly, X-Linked, 2"
6572,Listeriosis
6573,Lithiasis
6574,Little's Disease
