,gene,disease
36448,NGFR,"Degenerative Diseases, Spinal Cord"
36449,NGFR,Nonepileptic Seizures
36450,NGFR,Convulsions
36451,NGFR,Absence Seizures
36452,NGFR,Epileptic Seizures
36453,NGFR,Myoclonic Seizures
36454,NGFR,Generalized Absence Seizures
36455,NHLH2,Obesity
36456,NHS,Malignant neoplasm of breast
36457,NHS,Congenital total cataract
36458,NHS,Nuclear cataract
36459,NHS,Nance-Horan syndrome
36460,NHS,Nuclear non-senile cataract
36461,NHS,"Cataract, congenital, with microcornea or slight microphthalmia"
36462,NHS,CATARACT 40
36463,NHS,"Cataract, total congenital with posterior sutural opacities in Heterozygotes"
36464,NID1,Colorectal Carcinoma
36465,NID1,Dandy-Walker Syndrome
36466,NID1,"Liver Cirrhosis, Experimental"
36467,NID1,Weight Gain
36468,NINJ1,"Dermatitis, Allergic Contact"
36469,NKX2-2,Neonatal diabetes mellitus
36470,NKX3-1,Prostatic Neoplasms
36471,NKX3-1,Malignant neoplasm of prostate
36472,NKX6-1,Alloxan Diabetes
36473,NKX6-1,"Diabetes Mellitus, Experimental"
36474,NKX6-1,"Diabetes Mellitus, Non-Insulin-Dependent"
36475,NKX6-1,Streptozotocin Diabetes
36476,NNAT,Non-Small Cell Lung Carcinoma
36477,NNAT,Neuroblastoma
36478,NMBR,Malignant neoplasm of breast
36479,NMBR,Breast Carcinoma
36480,NMBR,"Mammary Neoplasms, Human"
36481,NMBR,Mammary Neoplasms
36482,NMBR,"Mammary Carcinoma, Human"
36483,NME1,Anoxemia
36484,NME1,Anoxia
36485,NME1,Hypertrophic Cardiomyopathy
36486,NME1,Colorectal Carcinoma
36487,NME1,Colorectal Neoplasms
36488,NME1,Neoplasm Invasiveness
36489,NME1,Neoplasm Metastasis
36490,NME1,Hypoxia
36491,NME1,Hypoxemia
36492,NME1,Liver carcinoma
36493,NME1,Hypertrophic obstructive cardiomyopathy
36494,NME2,Colorectal Carcinoma
36495,NME2,Colorectal Neoplasms
36496,NME2,"Hepatitis, Toxic"
36497,NME2,Mesothelioma
36498,NME2,Degenerative polyarthritis
36499,NME2,Osteoarthrosis Deformans
36500,NME2,Drug-Induced Liver Disease
36501,NME2,ovarian neoplasm
36502,NME2,Malignant neoplasm of ovary
36503,NME2,"Hepatitis, Drug-Induced"
36504,NME2,Drug-Induced Acute Liver Injury
36505,NME2,Chemical and Drug Induced Liver Injury
36506,NME2,Chemically-Induced Liver Toxicity
36507,NQO2,Agranulocytosis
36508,NQO2,"Alcoholic Intoxication, Chronic"
36509,NQO2,Bone Marrow Diseases
36510,NQO2,Malignant neoplasm of breast
36511,NQO2,Contact Dermatitis
36512,NQO2,"Liver Cirrhosis, Experimental"
36513,NQO2,Memory Disorders
36514,NQO2,Psychotic Disorders
36515,NQO2,Schizophrenia
36516,NQO2,Contact hypersensitivity
36517,NQO2,Memory impairment
36518,NQO2,Nonorganic psychosis
36519,NQO2,Breast Carcinoma
36520,NQO2,Age-Related Memory Disorders
36521,NQO2,"Memory Disorder, Semantic"
36522,NQO2,"Memory Disorder, Spatial"
36523,NQO2,Memory Loss
36524,NQO2,"Mammary Neoplasms, Human"
36525,NQO2,Mammary Neoplasms
36526,NQO2,"Mammary Carcinoma, Human"
36527,NNMT,Bipolar Disorder
36528,NNMT,Schizophrenia
36529,NNMT,Liver carcinoma
36530,NODAL,Colorectal Carcinoma
36531,NODAL,Situs Inversus
36532,NODAL,Arhinencephaly
36533,NODAL,Holoprosencephaly
36534,NODAL,Situs ambiguus
36535,NODAL,Lobar Holoprosencephaly
36536,NODAL,Alobar Holoprosencephaly
36537,NODAL,Semilobar Holoprosencephaly
36538,NODAL,Situs ambiguous
36539,NODAL,Heterotaxy Syndrome
36540,NODAL,"Heterotaxy, Visceral, 5, Autosomal"
36541,NODAL,Ciliopathies
36542,NONO,Nephroblastoma
36543,NONO,Impaired glucose tolerance
36544,NONO,"AUTISM, SUSCEPTIBILITY TO, 15"
36545,NONO,Bilateral Wilms Tumor
36546,NONO,"MENTAL RETARDATION, X-LINKED, SYNDROMIC 34"
36547,NONO,MiT family translocation renal cell carcinoma
36548,NOS1,Anoxemia
36549,NOS1,Anoxia
36550,NOS1,Behavior Disorders
36551,NOS1,Mental disorders
36552,NOS1,Cerebellar Diseases
36553,NOS1,Endogenous depression
36554,NOS1,Depressive disorder
36555,NOS1,"Diabetes Mellitus, Insulin-Dependent"
36556,NOS1,Esophageal Achalasia
36557,NOS1,Fetal Alcohol Syndrome
36558,NOS1,Fever
36559,NOS1,Hepatic Coma
36560,NOS1,Hepatic Encephalopathy
36561,NOS1,Hyperalgesia
36562,NOS1,Intestinal Perforation
36563,NOS1,Jacksonian Seizure
36564,NOS1,Melancholia
36565,NOS1,Morphine Dependence
36566,NOS1,Nerve Degeneration
36567,NOS1,nervous system disorder
36568,NOS1,Parkinson Disease
36569,NOS1,Schizophrenia
36570,NOS1,Seizures
36571,NOS1,Status Epilepticus
36572,NOS1,Unipolar Depression
36573,NOS1,Urination Disorders
36574,NOS1,Depressive Syndrome
36575,NOS1,Complex partial seizures
36576,NOS1,"Diabetes, Autoimmune"
36577,NOS1,Generalized seizures
36578,NOS1,Clonic Seizures
36579,NOS1,Amphetamine-Related Disorders
36580,NOS1,Amphetamine Addiction
36581,NOS1,Amphetamine Abuse
36582,NOS1,Hypoxia
36583,NOS1,Petit mal status
36584,NOS1,Visual seizure
36585,NOS1,Tonic Seizures
36586,NOS1,Epileptic drop attack
36587,NOS1,"Depression, Neurotic"
36588,NOS1,Grand Mal Status Epilepticus
36589,NOS1,Brittle diabetes
36590,NOS1,"Diagnosis, Psychiatric"
36591,NOS1,Complex Partial Status Epilepticus
36592,NOS1,"Seizures, Somatosensory"
36593,NOS1,"Seizures, Auditory"
36594,NOS1,Olfactory seizure
36595,NOS1,Gustatory seizure
36596,NOS1,Vertiginous seizure
36597,NOS1,Allodynia
36598,NOS1,Tonic - clonic seizures
36599,NOS1,Neurobehavioral Manifestations
36600,NOS1,Morphine Abuse
36601,NOS1,Ventricular Remodeling
36602,NOS1,Left Ventricle Remodeling
36603,NOS1,Hypoxemia
36604,NOS1,End Stage Liver Disease
36605,NOS1,Non-epileptic convulsion
36606,NOS1,Single Seizure
36607,NOS1,Atonic Absence Seizures
36608,NOS1,Fulminant Hepatic Failure with Cerebral Edema
36609,NOS1,Hepatic Stupor
36610,NOS1,"Hyperalgesia, Primary"
36611,NOS1,"Hyperalgesia, Secondary"
36612,NOS1,Tactile Allodynia
36613,NOS1,"Hyperalgesia, Thermal"
36614,NOS1,Convulsive Seizures
36615,NOS1,"Seizures, Focal"
36616,NOS1,"Seizures, Sensory"
36617,NOS1,"Status Epilepticus, Subclinical"
36618,NOS1,Non-Convulsive Status Epilepticus
36619,NOS1,Simple Partial Status Epilepticus
36620,NOS1,Alcohol Related Neurodevelopmental Disorder
36621,NOS1,Idiopathic achalasia of esophagus
36622,NOS1,Neurotmesis
36623,NOS1,Chronic Liver Failure
36624,NOS1,Mechanical Allodynia
36625,NOS1,Fetal Alcohol Spectrum Disorders
36626,NOS1,Alcohol Related Birth Defect
36627,NOS1,Nonepileptic Seizures
36628,NOS1,Partial Fetal Alcohol Syndrome
36629,NOS1,"Diabetes Mellitus, Ketosis-Prone"
36630,NOS1,"Mental Disorders, Severe"
36631,NOS1,Convulsions
36632,NOS1,Absence Seizures
36633,NOS1,Epileptic Seizures
36634,NOS1,Myoclonic Seizures
36635,NOS1,Generalized Absence Seizures
36636,NOS1,"Diabetes Mellitus, Sudden-Onset"
36637,NOS2,Alloxan Diabetes
36638,NOS2,Aortitis Syndrome
36639,NOS2,"Arthritis, Psoriatic"
36640,NOS2,Asbestosis
36641,NOS2,Asthma
36642,NOS2,Atherosclerosis
36643,NOS2,Autistic Disorder
36644,NOS2,"Cholestasis, Extrahepatic"
36645,NOS2,Cerebral Edema
36646,NOS2,Malignant neoplasm of breast
36647,NOS2,Bronchial Diseases
36648,NOS2,Malignant tumor of colon
36649,NOS2,Neoplastic Cell Transformation
36650,NOS2,Brain Ischemia
36651,NOS2,Primary biliary cirrhosis
36652,NOS2,"Cholangitis, Sclerosing"
36653,NOS2,Cholestasis
36654,NOS2,Colitis
36655,NOS2,Colonic Neoplasms
36656,NOS2,Curling Ulcer
36657,NOS2,Mental Depression
36658,NOS2,Depressive disorder
36659,NOS2,"Diabetes Mellitus, Experimental"
36660,NOS2,"Diabetes Mellitus, Non-Insulin-Dependent"
36661,NOS2,Duodenal Ulcer
36662,NOS2,Pathological accumulation of air in tissues
36663,NOS2,Eperythrozoonosis
36664,NOS2,Toxic Epidermal Necrolysis
36665,NOS2,Esophageal Neoplasms
36666,NOS2,Focal glomerulosclerosis
36667,NOS2,Heart failure
36668,NOS2,Congestive heart failure
36669,NOS2,Hepatomegaly
36670,NOS2,Hyperalgesia
36671,NOS2,Hyperemia
36672,NOS2,Hypertensive disease
36673,NOS2,"Hypothermia, natural"
36674,NOS2,Inflammation
36675,NOS2,Intestinal Diseases
36676,NOS2,Jacksonian Seizure
36677,NOS2,Kidney Diseases
36678,NOS2,"Kidney Failure, Acute"
36679,NOS2,Left-Sided Heart Failure
36680,NOS2,Biliary cirrhosis
36681,NOS2,"Liver Cirrhosis, Experimental"
36682,NOS2,Liver diseases
36683,NOS2,Chronic Obstructive Airway Disease
36684,NOS2,Lung Neoplasms
36685,NOS2,Malaria
36686,NOS2,Marfan Syndrome
36687,NOS2,Mycoplasma Infections
36688,NOS2,Myocardial Infarction
36689,NOS2,Myocardial Reperfusion Injury
36690,NOS2,Necrosis
36691,NOS2,Pustulosis of Palms and Soles
36692,NOS2,Secondary Parkinson Disease
36693,NOS2,Aspiration Pneumonia
36694,NOS2,Psoriasis
36695,NOS2,Pyemia
36696,NOS2,Reperfusion Injury
36697,NOS2,Retinal Diseases
36698,NOS2,Schistosomiasis mansoni
36699,NOS2,Seizures
36700,NOS2,Septicemia
36701,NOS2,Endotoxic shock
36702,NOS2,Septic Shock
36703,NOS2,Silicosis
36704,NOS2,Status Epilepticus
36705,NOS2,Stevens-Johnson Syndrome
36706,NOS2,Gastric ulcer
36707,NOS2,Streptozotocin Diabetes
36708,NOS2,Cerebrovascular accident
36709,NOS2,Subarachnoid Hemorrhage
36710,NOS2,Substance Withdrawal Syndrome
36711,NOS2,Takayasu Arteritis
36712,NOS2,Turner Syndrome
36713,NOS2,Ureteral obstruction
36714,NOS2,Urinary tract infection
36715,NOS2,Venous Engorgement
36716,NOS2,Essential Hypertension
36717,NOS2,Mendelson Syndrome
36718,NOS2,Drug Withdrawal Symptoms
36719,NOS2,"Hyalinosis, Segmental Glomerular"
36720,NOS2,Liver Dysfunction
36721,NOS2,Withdrawal Symptoms
36722,NOS2,Complex partial seizures
36723,NOS2,Cerebral Hypoxia-Ischemia
36724,NOS2,Reactive Hyperemia
36725,NOS2,Stunned Myocardium
36726,NOS2,Myocardial Stunning
36727,NOS2,Cholangiocarcinoma
36728,NOS2,Generalized seizures
36729,NOS2,Clonic Seizures
36730,NOS2,"Heart Failure, Right-Sided"
36731,NOS2,Secondary Biliary Cholangitis
36732,NOS2,Malignant neoplasm of lung
36733,NOS2,Intestinal schistosomiasis
36734,NOS2,"Gonadal Dysgenesis, 45,X"
36735,NOS2,Sepsis
36736,NOS2,Cardiovascular Abnormalities
36737,NOS2,Perinatal Subarachnoid Hemorrhage
36738,NOS2,Petit mal status
36739,NOS2,Visual seizure
36740,NOS2,Tonic Seizures
36741,NOS2,Epileptic drop attack
36742,NOS2,Grand Mal Status Epilepticus
36743,NOS2,Active Hyperemia
36744,NOS2,Intrahepatic Cholangiocarcinoma
36745,NOS2,"Hibernation, Myocardial"
36746,NOS2,Endotoxemia
36747,NOS2,Complex Partial Status Epilepticus
36748,NOS2,"Seizures, Somatosensory"
36749,NOS2,"Seizures, Auditory"
36750,NOS2,Olfactory seizure
36751,NOS2,Gustatory seizure
36752,NOS2,Vertiginous seizure
36753,NOS2,Allodynia
36754,NOS2,"Subarachnoid Hemorrhage, Spontaneous"
36755,NOS2,Vasogenic Cerebral Edema
36756,NOS2,Cytotoxic Cerebral Edema
36757,NOS2,Tonic - clonic seizures
36758,NOS2,Necrotizing Enterocolitis
36759,NOS2,Malignant neoplasm of esophagus
36760,NOS2,Primary sclerosing cholangitis
36761,NOS2,Toxic Shock Syndrome
36762,NOS2,Manganese Poisoning
36763,NOS2,Breast Carcinoma
36764,NOS2,Vasogenic Brain Edema
36765,NOS2,Cytotoxic Brain Edema
36766,NOS2,Non-epileptic convulsion
36767,NOS2,Single Seizure
36768,NOS2,Atonic Absence Seizures
36769,NOS2,"Hyperalgesia, Primary"
36770,NOS2,"Hyperalgesia, Secondary"
36771,NOS2,Tactile Allodynia
36772,NOS2,"Hyperalgesia, Thermal"
36773,NOS2,"Parkinson Disease, Secondary Vascular"
36774,NOS2,Atherosclerotic Parkinsonism
36775,NOS2,Convulsive Seizures
36776,NOS2,"Seizures, Focal"
36777,NOS2,"Seizures, Sensory"
36778,NOS2,"Status Epilepticus, Subclinical"
36779,NOS2,Non-Convulsive Status Epilepticus
36780,NOS2,Simple Partial Status Epilepticus
36781,NOS2,"Subarachnoid Hemorrhage, Aneurysmal"
36782,NOS2,Mitochondrial Diseases
36783,NOS2,Acute Cerebrovascular Accidents
36784,NOS2,Hypoxic-Ischemic Encephalopathy
36785,NOS2,Anoxic-Ischemic Encephalopathy
36786,NOS2,"Anoxia-Ischemia, Brain"
36787,NOS2,"Anoxia-Ischemia, Cerebral"
36788,NOS2,"Hypoxia-Ischemia, Brain"
36789,NOS2,"Subarachnoid Hemorrhage, Intracranial"
36790,NOS2,Cerebral Ischemia
36791,NOS2,"Electron Transport Chain Deficiencies, Mitochondrial"
36792,NOS2,Oxidative Phosphorylation Deficiencies
36793,NOS2,Mitochondrial Respiratory Chain Deficiencies
36794,NOS2,"Mammary Neoplasms, Human"
36795,NOS2,Drug-Induced Stevens Johnson Syndrome
36796,NOS2,Hepatic Insufficiency
36797,NOS2,Mammary Neoplasms
36798,NOS2,Bonnevie-Ullrich Syndrome
36799,NOS2,Chronic Airflow Obstruction
36800,NOS2,Brain Edema
36801,NOS2,Atherogenesis
36802,NOS2,Acute Kidney Insufficiency
36803,NOS2,Severe Sepsis
36804,NOS2,Myocardial Failure
36805,NOS2,Heart Decompensation
36806,NOS2,Acute kidney injury
36807,NOS2,Pulmonary Fibrosis - from Asbestos Exposure
36808,NOS2,Mechanical Allodynia
36809,NOS2,Nonepileptic Seizures
36810,NOS2,Mycoplasma-Induced Stevens-Johnson Syndrome
36811,NOS2,Stevens-Johnson Syndrome Toxic Epidermal Necrolysis Spectrum
36812,NOS2,Extrahepatic Cholangiocarcinoma
36813,NOS2,Convulsions
36814,NOS2,Absence Seizures
36815,NOS2,Epileptic Seizures
36816,NOS2,Myoclonic Seizures
36817,NOS2,Generalized Absence Seizures
36818,NOS2,"Biliary Cirrhosis, Primary, 1"
36819,NOS2,"Mammary Carcinoma, Human"
36820,NOS2,"Marfan Syndrome, Type I"
36821,NOS3,Abruptio Placentae
36822,NOS3,Adenocarcinoma
36823,NOS3,Alloxan Diabetes
36824,NOS3,Alzheimer's Disease
36825,NOS3,Anoxemia
36826,NOS3,Anoxia
36827,NOS3,Arteriosclerosis
36828,NOS3,Atherosclerosis
36829,NOS3,Atrial Fibrillation
36830,NOS3,"Cholestasis, Extrahepatic"
36831,NOS3,Bipolar Disorder
36832,NOS3,Malignant neoplasm of breast
36833,NOS3,Malignant Neoplasms
36834,NOS3,Cardiovascular Diseases
36835,NOS3,Cerebral Infarction
36836,NOS3,Primary biliary cirrhosis
36837,NOS3,Cleft upper lip
36838,NOS3,Cleft Palate
36839,NOS3,Coronary Arteriosclerosis
36840,NOS3,Coronary Artery Vasospasm
36841,NOS3,Cruveilhier-Baumgarten Syndrome
36842,NOS3,Presenile dementia
36843,NOS3,Mental Depression
36844,NOS3,Depressive disorder
36845,NOS3,"Diabetes Mellitus, Experimental"
36846,NOS3,"Diabetes Mellitus, Insulin-Dependent"
36847,NOS3,"Diabetes Mellitus, Non-Insulin-Dependent"
36848,NOS3,Diabetic Angiopathies
36849,NOS3,Diabetic Nephropathy
36850,NOS3,Esophageal Neoplasms
36851,NOS3,Fetal Growth Retardation
36852,NOS3,Nodular glomerulosclerosis
36853,NOS3,"Hypertension, Goldblatt"
36854,NOS3,Cardiomegaly
36855,NOS3,Heart failure
36856,NOS3,Congestive heart failure
36857,NOS3,Hepatomegaly
36858,NOS3,Diaphragmatic Hernia
36859,NOS3,Hyperglycemia
36860,NOS3,Hyperinsulinism
36861,NOS3,Hyperlipidemia
36862,NOS3,Hypertensive disease
36863,NOS3,Portal Hypertension
36864,NOS3,Pulmonary Hypertension
36865,NOS3,"Hypertension, Renovascular"
36866,NOS3,Male infertility
36867,NOS3,Insulin Resistance
36868,NOS3,Intestinal Perforation
36869,NOS3,Ischemia
36870,NOS3,"Kidney Failure, Acute"
36871,NOS3,Left-Sided Heart Failure
36872,NOS3,Biliary cirrhosis
36873,NOS3,"Liver Cirrhosis, Experimental"
36874,NOS3,Chronic Obstructive Airway Disease
36875,NOS3,Malignant neoplasm of stomach
36876,NOS3,"Microangiopathy, Diabetic"
36877,NOS3,Myocardial Infarction
36878,NOS3,Myocardial Reperfusion Injury
36879,NOS3,Neoplasms
36880,NOS3,Oligospermia
36881,NOS3,Pre-Eclampsia
36882,NOS3,Prostatic Neoplasms
36883,NOS3,Pulmonary Edema
36884,NOS3,Pyemia
36885,NOS3,Reperfusion Injury
36886,NOS3,Septicemia
36887,NOS3,Stomach Neoplasms
36888,NOS3,Gastric ulcer
36889,NOS3,Streptozotocin Diabetes
36890,NOS3,Uremia
36891,NOS3,Ureteral obstruction
36892,NOS3,"Tachycardia, Ventricular"
36893,NOS3,Vestibular Diseases
36894,NOS3,Essential Hypertension
36895,NOS3,Benign Neoplasm
36896,NOS3,Premature ventricular contractions
36897,NOS3,Myocardial Ischemia
36898,NOS3,"Adenocarcinoma, Basal Cell"
36899,NOS3,"Adenocarcinoma, Oxyphilic"
36900,NOS3,"Carcinoma, Cribriform"
36901,NOS3,"Carcinoma, Granular Cell"
36902,NOS3,"Adenocarcinoma, Tubular"
36903,NOS3,"Diabetes, Autoimmune"
36904,NOS3,Paroxysmal atrial fibrillation
36905,NOS3,"Heart Failure, Right-Sided"
36906,NOS3,Secondary Biliary Cholangitis
36907,NOS3,Hypoxia
36908,NOS3,Erectile dysfunction
36909,NOS3,Sepsis
36910,NOS3,Familial Alzheimer Disease (FAD)
36911,NOS3,Transient hypertension of pregnancy
36912,NOS3,Brittle diabetes
36913,NOS3,Malignant neoplasm of prostate
36914,NOS3,Teratozoospermia
36915,NOS3,Globozoospermia
36916,NOS3,"Alzheimer Disease, Late Onset"
36917,NOS3,Necrotizing Enterocolitis
36918,NOS3,Metabolic Syndrome X
36919,NOS3,Acute Confusional Senile Dementia
36920,NOS3,Malignant neoplasm of esophagus
36921,NOS3,Breast Carcinoma
36922,NOS3,Hypoxemia
36923,NOS3,"Alzheimer's Disease, Focal Onset"
36924,NOS3,"Alzheimer Disease, Early Onset"
36925,NOS3,"Cerebral Infarction, Left Hemisphere"
36926,NOS3,"Cerebral Infarction, Right Hemisphere"
36927,NOS3,Anterior Choroidal Artery Infarction
36928,NOS3,Subcortical Infarction
36929,NOS3,"Subfertility, Male"
36930,NOS3,Pregnancy associated hypertension
36931,NOS3,Posterior Choroidal Artery Infarction
36932,NOS3,Male sterility
36933,NOS3,Insulin Sensitivity
36934,NOS3,"Mammary Neoplasms, Human"
36935,NOS3,Endogenous Hyperinsulinism
36936,NOS3,Exogenous Hyperinsulinism
36937,NOS3,Compensatory Hyperinsulinemia
36938,NOS3,Hepatic Insufficiency
36939,NOS3,Cardiac Hypertrophy
36940,NOS3,Mammary Neoplasms
36941,NOS3,Chronic Airflow Obstruction
36942,NOS3,Atherogenesis
36943,NOS3,Acute Kidney Insufficiency
36944,NOS3,Lipidemias
36945,NOS3,Hereditary Diffuse Gastric Cancer
36946,NOS3,Severe Sepsis
36947,NOS3,"Cleft palate, isolated"
36948,NOS3,"Hyperglycemia, Postprandial"
36949,NOS3,Coronary Artery Disease
36950,NOS3,Myocardial Failure
36951,NOS3,Heart Decompensation
36952,NOS3,Persistent atrial fibrillation
36953,NOS3,Acute kidney injury
36954,NOS3,familial atrial fibrillation
36955,NOS3,"Diabetes Mellitus, Ketosis-Prone"
36956,NOS3,"Biliary Cirrhosis, Primary, 1"
36957,NOS3,"Diabetes Mellitus, Sudden-Onset"
36958,NOS3,"Mammary Carcinoma, Human"
36959,CNOT3,Prostatic Neoplasms
36960,CNOT3,Malignant neoplasm of prostate
36961,CNOT3,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
36962,NOTCH1,Congenital Abnormality
36963,NOTCH1,Astrocytoma
36964,NOTCH1,Malignant neoplasm of urinary bladder
36965,NOTCH1,Bladder Neoplasm
36966,NOTCH1,Malignant neoplasm of breast
36967,NOTCH1,Calcinosis
36968,NOTCH1,Malignant Neoplasms
36969,NOTCH1,Malignant tumor of colon
36970,NOTCH1,Malignant neoplasm of skin
36971,NOTCH1,Squamous cell carcinoma
36972,NOTCH1,Neoplastic Cell Transformation
36973,NOTCH1,Uterine Cervical Neoplasm
36974,NOTCH1,Colonic Neoplasms
36975,NOTCH1,Connective Tissue Diseases
36976,NOTCH1,Adenoid Cystic Carcinoma
36977,NOTCH1,Glioblastoma
36978,NOTCH1,Heart valve disease
36979,NOTCH1,"Hepatitis, Toxic"
36980,NOTCH1,Acute lymphocytic leukemia
36981,NOTCH1,Childhood Acute Lymphoblastic Leukemia
36982,NOTCH1,"Leukemia, T-Cell"
36983,NOTCH1,Lymphoma
36984,NOTCH1,nervous system disorder
36985,NOTCH1,"Scoliosis, unspecified"
36986,NOTCH1,Skin Neoplasms
36987,NOTCH1,Splenomegaly
36988,NOTCH1,Bicuspid aortic valve
36989,NOTCH1,Squamous cell carcinoma of lung
36990,NOTCH1,Benign neoplasm of bladder
36991,NOTCH1,Carcinoma in situ of bladder
36992,NOTCH1,Subependymal Giant Cell Astrocytoma
36993,NOTCH1,Tumoral calcinosis
36994,NOTCH1,Adams Oliver syndrome
36995,NOTCH1,Squamous cell carcinoma of esophagus
36996,NOTCH1,Juvenile Pilocytic Astrocytoma
36997,NOTCH1,Diffuse Astrocytoma
36998,NOTCH1,Anaplastic astrocytoma
36999,NOTCH1,Protoplasmic astrocytoma
37000,NOTCH1,Gemistocytic astrocytoma
37001,NOTCH1,Fibrillary Astrocytoma
37002,NOTCH1,Pilocytic Astrocytoma
37003,NOTCH1,Giant Cell Glioblastoma
37004,NOTCH1,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse"
37005,NOTCH1,Childhood Cerebral Astrocytoma
37006,NOTCH1,Left ventricular outflow tract obstruction
37007,NOTCH1,Congenital aneurysm of ascending aorta
37008,NOTCH1,Craniofacial Abnormalities
37009,NOTCH1,Aortic valve calcification
37010,NOTCH1,Neoplasm of uncertain or unknown behavior of bladder
37011,NOTCH1,Neoplasm of uncertain or unknown behavior of breast
37012,NOTCH1,Microcalcification
37013,NOTCH1,Mixed oligoastrocytoma
37014,NOTCH1,Breast Carcinoma
37015,NOTCH1,Carcinoma of bladder
37016,NOTCH1,Cerebral Astrocytoma
37017,NOTCH1,Intracranial Astrocytoma
37018,NOTCH1,Adult Acute Lymphocytic Leukemia
37019,NOTCH1,Breast adenocarcinoma
37020,NOTCH1,Drug-Induced Liver Disease
37021,NOTCH1,"Carcinoma, Pancreatic Ductal"
37022,NOTCH1,Squamous cell carcinoma of the head and neck
37023,NOTCH1,"Mammary Neoplasms, Human"
37024,NOTCH1,Aortic valve disorder
37025,NOTCH1,"Hepatitis, Drug-Induced"
37026,NOTCH1,Mammary Neoplasms
37027,NOTCH1,Glioblastoma Multiforme
37028,NOTCH1,Grade I Astrocytoma
37029,NOTCH1,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
37030,NOTCH1,Congenital defect of skull and scalp
37031,NOTCH1,Drug-Induced Acute Liver Injury
37032,NOTCH1,Aortic Valve Disease 1
37033,NOTCH1,ADAMS-OLIVER SYNDROME 5
37034,NOTCH1,cervical cancer
37035,NOTCH1,Chemical and Drug Induced Liver Injury
37036,NOTCH1,Chemically-Induced Liver Toxicity
37037,NOTCH1,Adams-Oliver syndrome 1
37038,NOTCH1,"Mammary Carcinoma, Human"
37039,NOTCH1,Familial thoracic aortic aneurysm and aortic dissection
37040,NPY,Alcohol Use Disorder
37041,NPY,"Alcoholic Intoxication, Chronic"
37042,NPY,Alzheimer's Disease
37043,NPY,Anorexia
37044,NPY,Anxiety Disorders
37045,NPY,Asthma
37046,NPY,Cardiovascular Diseases
37047,NPY,Cerebral Infarction
37048,NPY,"Bronchitis, Chronic"
37049,NPY,Cocaine Abuse
37050,NPY,Presenile dementia
37051,NPY,Mental Depression
37052,NPY,Endogenous depression
37053,NPY,Depressive disorder
37054,NPY,Drug abuse
37055,NPY,Drug habituation
37056,NPY,Drug Use Disorders
37057,NPY,Epilepsy
37058,NPY,"Epilepsy, Temporal Lobe"
37059,NPY,Uncinate Epilepsy
37060,NPY,Hypertrophy
37061,NPY,Jacksonian Seizure
37062,NPY,Melancholia
37063,NPY,Memory Disorders
37064,NPY,Muscle Rigidity
37065,NPY,Nasal obstruction present finding
37066,NPY,"Organic Mental Disorders, Substance-Induced"
37067,NPY,Rhinitis
37068,NPY,Schizoaffective Disorder
37069,NPY,Schizophrenia
37070,NPY,Seizures
37071,NPY,Substance Dependence
37072,NPY,Substance Use Disorders
37073,NPY,Substance Withdrawal Syndrome
37074,NPY,Unipolar Depression
37075,NPY,Seasonal Affective Disorder
37076,NPY,Alcohol abuse
37077,NPY,Depressive Syndrome
37078,NPY,Drug Withdrawal Symptoms
37079,NPY,"Epilepsy, Cryptogenic"
37080,NPY,Withdrawal Symptoms
37081,NPY,Complex partial seizures
37082,NPY,Cogwheel Rigidity
37083,NPY,Gegenhalten
37084,NPY,Catatonic Rigidity
37085,NPY,Memory impairment
37086,NPY,Generalized seizures
37087,NPY,Clonic Seizures
37088,NPY,Aura
37089,NPY,Alcohol-Related Disorders
37090,NPY,Cocaine-Related Disorders
37091,NPY,Substance-Related Disorders
37092,NPY,Extensor Rigidity
37093,NPY,Visual seizure
37094,NPY,Tonic Seizures
37095,NPY,Epileptic drop attack
37096,NPY,Familial Alzheimer Disease (FAD)
37097,NPY,Extrapyramidal Rigidity
37098,NPY,"Depression, Neurotic"
37099,NPY,"Anxiety States, Neurotic"
37100,NPY,"Epilepsy, Benign Psychomotor, Childhood"
37101,NPY,"Epilepsy, Lateral Temporal"
37102,NPY,"Seizures, Somatosensory"
37103,NPY,"Seizures, Auditory"
37104,NPY,Olfactory seizure
37105,NPY,Gustatory seizure
37106,NPY,Vertiginous seizure
37107,NPY,"Alzheimer Disease, Late Onset"
37108,NPY,Tonic - clonic seizures
37109,NPY,Mood Disorders
37110,NPY,Acute Confusional Senile Dementia
37111,NPY,Cocaine Dependence
37112,NPY,Substance abuse problem
37113,NPY,"Alzheimer's Disease, Focal Onset"
37114,NPY,"Alzheimer Disease, Early Onset"
37115,NPY,"Cerebral Infarction, Left Hemisphere"
37116,NPY,"Cerebral Infarction, Right Hemisphere"
37117,NPY,Anterior Choroidal Artery Infarction
37118,NPY,Subcortical Infarction
37119,NPY,Non-epileptic convulsion
37120,NPY,Single Seizure
37121,NPY,Awakening Epilepsy
37122,NPY,Atonic Absence Seizures
37123,NPY,"Hyperkinesia, Generalized"
37124,NPY,Age-Related Memory Disorders
37125,NPY,"Memory Disorder, Semantic"
37126,NPY,"Memory Disorder, Spatial"
37127,NPY,Memory Loss
